,Neighbourhood,Average Rent,Latitude,Longitude
0,Treasure Island,2616,37.8233541,-122.37015310228705
1,Van Ness - Civic Center,3034,37.7751897,-122.4192659
2,Tenderloin,3034,37.7842493,-122.4139933
3,Downtown District 8 - North East,3039,NAN,NAN
4,Russian Hill,3053,37.8000729,-122.4170942
5,Marina,3056,37.7997929,-122.4352048
6,Nob Hill,3058,37.7932622,-122.415249
7,Hayes Valley,3080,37.7766853,-122.4229361
8,Bernal Heights,3129,37.7429861,-122.4158042
9,Western Addition,3140,37.779559,-122.4298104
10,Lower Pacific Heights,3192,37.7857666,-122.4389042
11,Pacific Heights,3220,37.7927171,-122.4356445
12,Telegraph Hill,3308,37.800785,-122.4040908
13,North Beach,3308,37.8011749,-122.4090021
14,Silver Terrace,3311,37.7338538,-122.4000282
15,Hunters Point,3311,37.7267715,-122.3715718
16,Candlestick Point,3311,37.71154295,-122.38830108690212
17,Bayview Heights,3311,NAN,NAN
18,Bayview,3311,37.7288889,-122.3925
19,Noe Valley,3423,37.7515906,-122.4320814
20,Stonestown,3475,37.7272845,-122.4749053
21,Pine Lake Park,3475,37.73649405,-122.48808384571976
22,Merced Manor,3475,-1.4090262,-78.2480622
23,Merced Heights,3475,37.7175067,-122.47028144999999
24,Lakeside,3475,37.7319673,-122.4742572
25,Lake Shore,3475,NAN,NAN
26,Ingleside Heights,3475,NAN,NAN
27,Financial District - Barbary Coast,3498,NAN,NAN
28,North Panhandle,3615,37.7760408,-122.4494158
29,Alamo Square,3615,37.77635985,-122.43468852023724
30,Parnassus Heights,3631,NAN,NAN
31,Haight Ashbury,3631,37.7700148,-122.4469519
32,Cole Valley,3631,37.7658133,-122.4499624
33,Buena Vista,3631,37.8065321,-122.4206485
34,Ashbury Heights,3631,NAN,NAN
35,Forest Knolls,3641,NAN,NAN
36,Midtown Terrace,3645,NAN,NAN
37,Glen Park,3645,37.734281,-122.4344696
38,Diamond Heights,3645,NAN,NAN
39,Outer Sunset,3648,37.7298383,-122.4935008
40,Inner Sunset,3648,37.76145,-122.4676432
41,Golden Gate Heights,3648,NAN,NAN
42,Central Sunset,3648,37.76088,-122.4957699
43,Anza Vista,3655,37.7808364,-122.4431489
44,North Waterfront,3665,-11.3509791,-68.0462185
45,Sunnyside,3773,10.4508472,-66.8843177
46,Inner Mission,3828,NAN,NAN
47,Cow Hollow,3846,37.7972616,-122.4362477
48,Mission Dolores,3851,NAN,NAN
49,Lone Mountain,3878,37.7790963,-122.4519159
50,Golden Gate Park,3878,37.769368099999994,-122.48218371117709
51,Twin Peaks,3951,37.75464,-122.44648
52,Westwood Park,4002,NAN,NAN
53,Outer Mission,4002,37.7452716,-122.4199359
54,Oceanview,4002,37.7136512,-122.457483
55,Mount Davidson Manor,4002,NAN,NAN
56,Mission Terrace,4002,37.7524984,-122.4128258
57,Ingleside,4002,37.7229872,-122.4530272
58,Excelsior,4002,37.7217943,-122.4353815
59,Presidio Heights,4033,37.7887511,-122.4530266
60,Lake Street,4033,37.7852835,-122.4916994
61,Jordan Park - Laurel Heights,4033,NAN,NAN
62,Inner Richmond,4033,37.77033285,-122.4700891767373
63,Central Richmond,4033,NAN,NAN
64,South of Market,4061,37.7808925,-122.4009518
65,Potrero Hill,4061,37.7565834,-122.3991374
66,Clarendon Heights,4112,NAN,NAN
67,John McLaren Park,4186,37.717454200000006,-122.4175503774965
68,Crocker Amazon,4186,37.7093777,-122.4385868
69,Yerba Buena,4226,-26.815225,-65.2672555
70,Central Waterfront - Dogpatch,4277,NAN,NAN
71,South Beach,4403,37.7798139,-122.3911499
72,Visitacion Valley,4475,37.7121319,-122.4097128
73,Portola,4475,37.726379,-122.4085514
74,Little Hollywood,4475,NAN,NAN
75,Eureka Valley - Dolores Heights,4494,NAN,NAN
76,Duboce Triangle,4494,37.7671382,-122.43223
77,Corona Heights,4494,37.7648857,-122.4393677
78,Mission Bay,4541,37.7707742,-122.3911712
79,Presidio,4799,37.798745600000004,-122.46458892410745
