Neighbourhood,Average Rent
The Highlands,1365
Richmond Beach,1365
Innis Arden,1365
Rainier View,1427
Zenith,1455
Woodmont,1455
South Des Moines,1455
Redondo,1455
Pacific Ridge,1455
North Central Des Moines,1455
Marina District,1455
Central Des Moines,1455
North Hill,1462
Ridgecrest,1489
North City,1489
Briarcrest,1489
Ballinger,1489
South Park,1506
Georgetown,1506
Richmond Highlands,1572
Hillwood,1572
Highland Terrace,1572
Broadview,1572
Echo Lake,1573
Westminster Triangle,1591
Parkwood,1591
Meridian Park,1591
Bitter Lake,1591
Haller Lake,1611
Victory Heights,1626
Pinehurst,1626
Olympic Hills,1626
Cedar Park,1626
North Beach - Blue Ridge,1650
Crown Hill,1650
Meadowbrook,1709
Matthews Beach,1709
Maple Leaf,1709
Rainier Beach,1758
North Beacon Hill,1783
South Delridge,1786
Riverview,1786
Highland Park,1786
Harbor Island-Industrial District,1786
Fauntleroy,1792
Arbor Heights,1792
North College Park,1798
Greenwood,1802
South Beacon Hill,1828
Mid-Beacon Hill,1828
Holly Park,1828
Columbia City,1828
Roxhill,1831
North Delridge,1831
High Point,1831
Wedgwood,1833
View Ridge,1833
Sand Point,1833
Roosevelt,1833
Southeast Magnolia,1850
Lawton Park,1850
Briarcliff,1850
Atlantic,1855
Whittier Heights,1861
Loyal Heights,1861
Mount Baker,1871
Stevens,1871
Madison Park,1871
Harrison - Denny Blaine,1871
Seward Park,1881
Dunlap,1881
Brighton,1881
Windermere,1888
Ravenna,1888
Bryant,1888
Gatewood,1895
Fairmount Park,1895
University District,1928
Laurelhurst,1928
Montlake,1945
Green Lake,1964
Portage Bay,1964
North Admiral,1968
Genesee,1968
Wallingford,2004
Broadway,2009
Seaview,2011
Junction,2012
Alki,2012
Leschi,2018
Mann,2025
Interbay,2028
Minor,2040
Madrona,2040
West Queen Anne,2065
Yesler Terrace,2071
International District,2072
Sunset Hill,2075
West Woodland,2102
Ballard,2102
Phinney Ridge,2105
Fremont,2124
Pioneer Square,2127
First Hill,2304
Eastlake,2342
North Queen Anne,2371
Lower Queen Anne,2371
Westlake,2440
South Lake Union,2440
East Queen Anne,2440
Seattle Central Business District,2487
Central Waterfront,2540
Pike Market,2650
Belltown,2650
